Console output now writes to BlvsODTest.txt and can be found at /home/pi/Chromostat/BlvsODTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Current settings are the following:

Currently saving output to: /home/pi/Chromostat/BlvsODTest.txt
Gain value is: 0
Integration Time is 1000.0 m/s
Time between measurements is 60000 m/s

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Mode  Time  Red  Green  Blue
T     461     1392   1886   2060
T     462     1342   1838   2012
T     463     1410   1905   2074
T     464     1407   1902   2073
T     465     1384   1877   2052
T     466     1348   1843   2015
T     467     1386   1879   2053
T     468     1393   1887   2060
T     469     1383   1884   2049
T     470     1378   1873   2047
T     471     1410   1904   2074
T     472     1411   1907   2075
T     473     1339   1833   2008
T     474     1387   1889   2053
T     475     1405   1898   2070
T     476     1405   1899   2069
T     477     1391   1887   2056
T     478     1347   1843   2015
T     479     1391   1884   2056
T     480     1401   1895   2067
T     481     1376   1874   2040
T     482     1385   1877   2052
T     483     1412   1904   2074
T     484     1360   1853   2027
T     485     1351   1846   2020
T     486     1387   1881   2054
T     487     1413   1908   2076
T     488     1348   1843   2015
T     489     1385   1877   2051
T     490     1386   1879   2053
T     491     1346   1841   2014
T     492     1377   1871   2043
T     493     1403   1897   2068
T     494     1406   1901   2071
T     495     1352   1848   2020
T     496     1380   1872   2047
T     497     1428   1924   2089
T     498     1365   1862   2029
T     499     1408   1904   2074
T     500     1428   1923   2087
T     501     1377   1873   2042
T     502     1362   1855   2029
T     503     1403   1898   2067
T     504     1374   1868   2040
T     505     1387   1885   2050
T     506     1383   1876   2050
T     507     1387   1879   2051
T     508     1383   1881   2045
T     509     1408   1905   2073
T     510     1401   1895   2066
T     511     1351   1846   2016
T     512     1420   1914   2081
T     513     1389   1882   2055
T     514     1351   1844   2018
T     515     1375   1871   2076
T     516     1395   1890   2060
T     517     1385   1877   2051
T     518     1355   1862   2032
T     519     1376   1876   2053
T     520     1397   1892   2065
T     521     1361   1858   2027
T     522     1390   1885   2057
T     523     1404   1900   2069
T     524     1361   1858   2030
T     525     1391   1885   2059
T     526     1398   1893   2063
T     527     1430   1930   2095
T     528     1339   1836   2009
T     529     1379   1874   2050
T     530     1399   1895   2067
T     531     1347   1844   2015
T     532     1405   1901   2072
T     533     1387   1883   2056
T     534     1395   1891   2061
T     535     1420   1918   2085
T     536     1397   1893   2065
T     537     1400   1895   2067
T     538     1345   1843   2017
T     539     1378   1873   2050
T     540     1400   1897   2067
T     541     1394   1891   2065
T     542     1379   1873   2049
T     543     1389   1885   2059
T     544     1403   1900   2072
T     545     1334   1831   2006
T     546     1396   1893   2065
T     547     1399   1896   2069
T     548     1398   1895   2068
T     549     1383   1878   2054
T     550     1386   1881   2056
T     551     1378   1873   2050
T     552     1396   1893   2065
T     553     1377   1875   2044
T     554     1402   1899   2070
T     555     1425   1926   2093
T     556     1388   1885   2059
T     557     1373   1874   2046
T     558     1409   1907   2078
T     559     1387   1883   2058
T     560     1348   1846   2020
T     561     1363   1861   2036
T     562     1382   1878   2054
T     563     1395   1892   2064
T     564     1350   1849   2023
T     565     1411   1910   2080
T     566     1419   1919   2086
T     567     1384   1880   2056
T     568     1343   1842   2017
T     569     1371   1867   2044
T     570     1395   1895   2068
T     571     1389   1886   2061
T     572     1347   1846   2020
T     573     1387   1885   2058
T     574     1410   1909   2080
T     575     1419   1918   2086
T     576     1368   1867   2034
T     577     1402   1900   2068
T     578     1383   1880   2055
T     579     1385   1882   2058
T     580     1345   1842   2019
T     581     1339   1837   2013
T     582     1397   1873   2050
T     583     1421   1921   2090
T     584     1394   1894   2066
T     585     1376   1880   2048
T     586     1411   1911   2082
T     587     1411   1910   2082
T     588     1372   1869   2047
T     589     1364   1865   2035
T     590     1373   1870   2048
T     591     1400   1899   2073
T     592     1423   1923   2091
T     593     1380   1878   2055
T     594     1384   1881   2058
T     595     1403   1903   2075
T     596     1385   1882   2059
T     597     1414   1912   2083
T     598     1371   1872   2044
T     599     1373   1869   2048
T     600     1389   1888   2063
T     601     1402   1902   2075
T     602     1346   1846   2021
T     603     1362   1861   2038
T     604     1376   1874   2052
T     605     1415   1915   2086
T     606     1365   1865   2041
T     607     1351   1851   2026
T     608     1391   1890   2064
T     609     1379   1876   2054
T     610     1387   1884   2060
T     611     1367   1864   2044
T     612     1350   1850   2024
T     613     1387   1886   2062
T     614     1417   1918   2089
T     615     1422   1923   2093
T     616     1387   1883   2061
T     617     1404   1903   2075
T     618     1414   1915   2084
T     619     1344   1844   2020
T     620     1357   1854   2033
T     621     1373   1870   2049
T     622     1395   1895   2069
T     623     1375   1875   2051
T     624     1331   1830   2009
T     625     1403   1904   2077
T     626     1386   1884   2060
T     627     1414   1915   2087
T     628     1372   1874   2047
T     629     1380   1877   2056
T     630     1387   1884   2060
T     631     1380   1878   2056
T     632     1374   1872   2050
T     633     1411   1914   2085
T     634     1418   1920   2090
T     635     1385   1883   2060
T     636     1383   1881   2058
T     637     1338   1837   2013
T     638     1377   1878   2048
T     639     1383   1882   2059
T     640     1422   1923   2092
T     641     1402   1903   2077
T     642     1339   1838   2015
T     643     1340   1835   2012
T     644     1383   1877   2054
T     645     1429   1929   2097
T     646     1382   1876   2053
T     647     1343   1840   2016
T     648     1346   1843   2018
T     649     1370   1872   2053
T     650     1370   1873   2053
T     651     1405   1912   2085
T     652     1378   1882   2054
T     653     1398   1901   2076
T     654     1397   1900   2072
T     655     1368   1869   2050
T     656     1361   1863   2043
T     657     1362   1863   2044
T     658     1364   1866   2046
T     659     1381   1884   2062
T     660     1338   1843   2018
T     661     1381   1884   2057
T     662     1376   1879   2057
T     663     1364   1865   2045
T     664     1342   1847   2023
T     665     1381   1889   2059
T     666     1364   1865   2045
T     667     1380   1882   2059
T     668     1363   1865   2043
T     669     1321   1824   2003
T     670     1386   1889   2063
T     671     1376   1878   2054
T     672     1387   1891   2065
T     673     1346   1850   2025
T     674     1391   1893   2066
T     675     1379   1882   2057
T     676     1375   1877   2054
T     677     1369   1875   2045
T     678     1388   1894   2065
T     679     1377   1879   2054
T     680     1374   1875   2052
T     681     1364   1871   2041
T     682     1368   1870   2048
T     683     1382   1883   2059
T     684     1399   1902   2073
T     685     1323   1825   2003
T     686     1360   1860   2040
T     687     1970   2449   2637
T     688     1963   2445   2629
T     689     1367   1867   2045
T     690     1377   1879   2054
T     691     1371   1872   2050
T     692     1364   1869   2043
T     693     1394   1902   2072
T     694     1368   1870   2048
T     695     1371   1872   2049
T     696     1348   1850   2048
T     697     1365   1866   2044
T     698     1366   1867   2045
T     699     1402   1907   2078
T     700     1368   1871   2043
T     701     1397   1902   2075
T     702     1370   1871   2048
T     703     1369   1870   2047
T     704     1347   1850   2023
T     705     1400   1905   2077
T     706     1370   1871   2047
T     707     1322   1824   2002
T     708     1350   1852   2027
T     709     1365   1865   2043
T     710     1360   1859   2038
T     711     1335   1839   2012
T     712     1380   1883   2056
T     713     1391   1895   2067
T     714     1365   1866   2042
T     715     1322   1823   2000
T     716     1360   1860   2038
T     717     1361   1861   2038
T     718     1328   1830   2007
T     719     1367   1870   2043
T     720     1362   1863   2040
T     721     1398   1901   2073
T     722     1318   1819   1997
T     723     1364   1864   2041
T     724     1385   1887   2060
T     725     1388   1891   2060
T     726     1319   1820   1998
T     727     1366   1866   2044
T     728     1376   1878   2055
T     729     1339   1840   2018
T     730     1325   1827   2004
T     731     1380   1882   2057
T     732     1364   1864   2043
T     733     1343   1844   2023
T     734     1320   1821   1999
T     735     1377   1880   2055
T     736     1404   1909   2079
T     737     1367   1871   2045
T     738     1358   1862   2034
T     739     1368   1867   2045
T     740     1388   1891   2064
T     741     1346   1848   2025
T     742     1359   1859   2038
T     743     1361   1862   2041
T     744     1366   1866   2045
T     745     1347   1849   2028
T     746     1373   1874   2052
T     747     1381   1883   2059
T     748     1399   1902   2073
T     749     1359   1861   2039
T     750     1365   1867   2045
T     751     1363   1864   2042
T     752     1369   1870   2048
T     753     1386   1888   2064
T     754     1386   1890   2064
T     755     1367   1868   2046
T     756     1366   1868   2047
T     757     1339   1844   2019
T     758     1347   1848   2028
T     759     1364   1866   2044
T     760     1367   1873   2043
T     761     1372   1873   2052
T     762     1389   1892   2067
T     763     1364   1865   2044
T     764     1373   1877   2051
T     765     1370   1871   2049
T     766     1367   1868   2047
T     767     1377   1879   2056
T     768     1380   1882   2058
T     769     1364   1865   2045
T     770     1359   1861   2041
T     771     1377   1880   2057
T     772     1328   1831   2009
T     773     1359   1861   2040
T     774     1367   1870   2048
T     775     1376   1878   2054
T     776     1322   1824   2004
T     777     1364   1869   2042
T     778     1386   1891   2066
T     779     1399   1902   2077
T     780     1357   1858   2038
T     781     1322   1826   2006
T     782     1380   1885   2060
T     783     1387   1891   2066
T     784     1361   1862   2043
T     785     1367   1873   2047
T     786     1348   1853   2027
T     787     1385   1888   2064
T     788     1380   1884   2061
T     789     1370   1872   2050
T     790     1329   1831   2011
T     791     1357   1865   2038
T     792     1398   1901   2073
T     793     1364   1864   2044
T     794     1376   1879   2057
T     795     1323   1826   2006
T     796     1367   1870   2050
T     797     1394   1900   2074
T     798     1367   1868   2049
T     799     1341   1845   2024
T     800     1370   1873   2052
T     801     1389   1895   2070
T     802     1370   1874   2053
T     803     1388   1892   2067
T     804     1337   1839   2019
T     805     1365   1867   2047
T     806     1359   1861   2042
T     807     1361   1862   2043
T     808     1359   1864   2039
T     809     1366   1871   2046
T     810     1364   1867   2047
T     811     1375   1878   2055
T     812     1358   1862   2041
T     813     1349   1854   2030
T     814     1350   1852   2032
T     815     1360   1862   2043
T     816     1389   1895   2070
T     817     1392   1898   2073
T     818     1341   1846   2023
T     819     1333   1837   2016
T     820     1374   1878   2056
T     821     1359   1861   2043
T     822     1395   1900   2073
T     823     1329   1832   2012
T     824     1368   1871   2051
T     825     1370   1873   2053
T     826     1401   1906   2080
T     827     1378   1883   2060
T     828     1339   1841   2022
T     829     1365   1867   2048
T     830     1907   2391   2578
T     831     1377   1881   2058
T     832     1329   1833   2011
T     833     1323   1826   2007
T     834     1373   1877   2055
T     835     1400   1906   2079
T     836     1369   1872   2051
T     837     1357   1861   2040
T     838     1321   1825   2005
T     839     1357   1859   2039
T     840     1358   1859   2040
T     841     1368   1869   2048
T     842     1339   1841   2021
T     843     1327   1831   2008
T     844     1383   1886   2061
T     845     1359   1860   2040
T     846     1369   1871   2049
T     847     1324   1828   2006
T     848     1380   1883   2058
T     849     1367   1869   2046
T     850     1363   1864   2043
T     851     1366   1867   2045
T     852     1366   1868   2046
T     853     1370   1872   2049
T     854     1366   1869   2046
T     855     1335   1838   2014
T     856     1348   1849   2027
T     857     1366   1866   2044
T     858     1362   1862   2040
T     859     1341   1845   2020
T     860     1340   1843   2018
T     861     1376   1879   2054
T     862     1369   1870   2047
T     863     1364   1869   2042
T     864     1323   1824   2001
T     865     1397   1902   2074
T     866     1365   1865   2042
T     867     1364   1865   2043
T     868     1330   1833   2009
T     869     1358   1860   2035
T     870     1360   1859   2037
T     871     1369   1871   2047
T     872     1330   1832   2009
T     873     1341   1844   2019
T     874     1361   1862   2039
T     875     1388   1889   2063
T     876     1362   1863   2040
T     877     1325   1827   2003
T     878     1360   1860   2037
T     879     1368   1869   2045
T     880     1363   1863   2040
T     881     1361   1861   2039
T     882     1368   1871   2046
T     883     1393   1898   2070
T     884     1360   1860   2038
T     885     1365   1866   2042
T     886     1392   1895   2067
T     887     1383   1886   2059
T     888     1362   1862   2039
T     889     1379   1880   2054
T     890     1364   1863   2040
T     891     1361   1861   2038
T     892     1352   1857   2029
T     893     1358   1857   2035
T     894     1370   1871   2045
T     895     1362   1862   2038
T     896     1348   1851   2023
T     897     1369   1870   2045
T     898     1360   1861   2037
T     899     1323   1824   2000
T     900     1363   1865   2038
T     901     1876   2357   2543
T     902     1857   2341   2524
T     903     1367   1868   2043
T     904     1341   1843   2018
T     905     1340   1842   2017
T     906     1366   1866   2042
T     907     1367   1868   2043
T     908     1362   1867   2039
T     909     1325   1826   2003
T     910     1374   1875   2051
T     911     1366   1867   2044
