Console output now writes to ColorDTest.txt and can be found at /home/pi/Chromostat/ColorDTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete


Mode  Time  Red  Green  Blue
T     665     47   1475   1357
T     666     45   1472   1353
T     667     52   1481   1368
T     668     44   1471   1352
T     669     44   1472   1353
T     670     45   1473   1353
T     671     45   1473   1355
T     672     44   1472   1353
T     673     45   1473   1353
T     674     45   1473   1353
T     675     44   1471   1352
T     676     44   1472   1352
T     677     44   1471   1353
T     678     49   1478   1364
T     679     44   1472   1353
T     680     47   1475   1359
T     681     44   1471   1353
T     682     51   1480   1367
T     683     44   1471   1353
T     684     44   1470   1352
T     685     44   1472   1353
T     686     45   1472   1353
T     687     44   1471   1353
T     688     44   1472   1353
T     689     45   1473   1354
T     690     44   1470   1352
T     691     44   1470   1352
T     692     44   1472   1352
T     693     52   1481   1366
T     694     44   1472   1353
T     695     51   1480   1366
T     696     43   1470   1352
T     697     45   1472   1355
T     698     44   1472   1353
T     699     44   1471   1352
T     700     44   1471   1351
T     701     45   1472   1352
T     702     44   1471   1352
T     703     44   1471   1352
T     704     50   1480   1363
T     705     44   1471   1352
T     706     49   1478   1362
T     707     44   1471   1351
T     708     202   1668   1649
T     709     43   1470   1351
T     710     44   1472   1351
T     711     44   1471   1351
T     712     44   1470   1351
T     713     51   1479   1364
T     714     43   1471   1350
T     715     49   1476   1360
T     716     44   1472   1351
T     717     46   1473   1354
T     718     44   1471   1351
T     719     44   1471   1351
T     720     43   1471   1350
T     721     43   1470   1351
T     722     44   1471   1352
T     723     44   1471   1351
T     724     51   1481   1365
T     725     43   1471   1350
T     726     51   1480   1364
T     727     43   1471   1350
T     728     44   1470   1351
T     729     43   1470   1351
T     730     43   1471   1350
T     731     43   1470   1351
T     732     43   1470   1351
T     733     50   1479   1364
T     734     43   1470   1350
T     735     50   1479   1363
T     736     43   1470   1351
T     737     43   1470   1351
T     738     43   1471   1350
T     739     43   1470   1351
T     740     43   1470   1351
T     741     43   1470   1350
T     742     44   1471   1352
T     743     43   1471   1350
T     744     50   1478   1362
T     745     44   1472   1351
T     746     50   1479   1364
T     747     44   1471   1351
T     748     43   1470   1351
T     749     43   1471   1350
T     750     43   1471   1351
T     751     43   1471   1350
T     752     43   1469   1350
T     753     49   1478   1363
T     754     43   1470   1350
T     755     50   1479   1365
T     756     43   1469   1350
T     757     43   1471   1351
T     758     43   1470   1350
T     759     43   1470   1351
T     760     43   1470   1352
T     761     42   1468   1350
T     762     45   1471   1354
T     763     43   1469   1352
T     764     50   1477   1365
T     765     42   1468   1351
T     766     50   1478   1365
T     767     44   1471   1351
T     768     43   1470   1352
T     769     42   1469   1351
T     770     45   1473   1357
T     771     43   1469   1352
T     772     43   1469   1352
T     773     43   1470   1351
T     774     42   1469   1351
T     775     43   1469   1353
T     776     43   1469   1352
T     777     45   1471   1356
T     778     43   1469   1352
T     779     43   1469   1353
T     780     43   1470   1353
T     781     43   1469   1353
T     782     48   1476   1362
T     783     43   1470   1352
T     784     49   1477   1362
T     785     43   1469   1353
T     786     50   1478   1366
T     787     43   1469   1352
T     788     45   1473   1357
T     789     43   1470   1353
T     790     42   1468   1353
T     791     43   1470   1352
T     792     44   1471   1355
T     793     43   1470   1353
T     794     42   1469   1352
T     795     42   1468   1353
T     796     42   1467   1356
T     797     43   1470   1353
T     798     42   1468   1352
T     799     43   1470   1354
T     800     43   1468   1354
T     801     47   1473   1360
T     802     43   1469   1353
T     803     43   1468   1352
T     804     42   1468   1353
T     805     48   1475   1361
T     806     43   1469   1354
T     807     54   1464   1351
T     808     43   1469   1353
T     809     48   1475   1363
T     810     43   1469   1353
T     811     50   1477   1364
T     812     42   1468   1350
T     813     50   1477   1365
T     814     43   1469   1352
T     815     50   1477   1365
T     816     42   1468   1353
T     817     44   1470   1354
T     818     43   1468   1353
T     819     49   1477   1366
T     820     42   1468   1351
T     821     44   1470   1355
T     822     43   1469   1352
T     823     43   1468   1353
T     824     43   1469   1353
T     825     47   1474   1361
T     826     43   1469   1354
T     827     43   1469   1354
T     828     43   1469   1354
T     829     43   1469   1354
T     830     43   1468   1354
T     831     48   1474   1362
T     832     42   1468   1352
T     833     43   1469   1354
T     834     42   1468   1352
T     835     49   1476   1365
T     836     43   1469   1353
T     837     44   1471   1355
T     838     43   1469   1353
T     839     43   1469   1353
T     840     43   1469   1352
T     841     46   1471   1358
T     842     43   1468   1352
T     843     43   1468   1352
T     844     42   1468   1352
T     845     43   1469   1352
T     846     42   1467   1351
T     847     42   1468   1351
T     848     43   1469   1352
T     849     42   1468   1351
T     850     46   1473   1358
T     851     37   1481   1367
T     852     42   1467   1351
T     853     42   1468   1351
T     854     43   1469   1352
T     855     42   1467   1351
T     856     44   1470   1355
T     857     43   1468   1351
T     858     42   1468   1351
T     859     42   1467   1351
T     860     49   1477   1364
T     861     43   1468   1351
T     862     47   1474   1359
T     863     42   1467   1351
T     864     48   1475   1362
T     865     42   1468   1351
T     866     42   1468   1351
T     867     42   1468   1352
T     868     44   1469   1354
T     869     42   1468   1351
T     870     41   1468   1349
T     871     42   1468   1350
T     872     42   1468   1350
T     873     42   1468   1351
T     874     42   1468   1351
T     875     48   1475   1361
T     876     42   1468   1350
T     877     45   1471   1355
T     878     42   1468   1350
T     879     49   1477   1364
T     880     43   1470   1352
T     881     42   1468   1351
T     882     42   1468   1350
T     883     42   1468   1351
T     884     42   1468   1350
T     885     41   1468   1350
T     886     45   1473   1357
T     887     41   1467   1349
T     888     42   1468   1351
T     889     42   1468   1350
T     890     49   1476   1364
T     891     42   1468   1351
T     892     43   1469   1351
T     893     42   1467   1350
T     894     42   1468   1351
T     895     42   1468   1350
T     896     42   1468   1351
T     897     44   1470   1355
T     898     42   1468   1351
T     899     42   1468   1351
T     900     42   1468   1350
T     901     48   1476   1363
T     902     42   1469   1350
T     903     48   1475   1362
T     904     42   1468   1350
T     905     44   1470   1353
T     906     41   1468   1350
T     907     42   1467   1350
T     908     42   1467   1350
T     909     42   1467   1350
T     910     42   1468   1350
T     911     42   1469   1350
T     912     48   1475   1362
T     913     41   1468   1349
T     914     48   1476   1362
T     915     42   1467   1350
T     916     45   1471   1355
T     917     41   1468   1350
T     918     45   1471   1356
T     919     42   1468   1350
T     920     41   1468   1349
T     921     42   1468   1351
T     922     46   1473   1359
T     923     41   1468   1350
T     924     47   1475   1359
T     925     42   1468   1350
T     926     42   1468   1350
T     927     41   1467   1349
T     928     42   1467   1350
T     929     41   1467   1349
T     930     42   1469   1349
T     931     46   1473   1357
T     932     42   1467   1350
T     933     43   1470   1352
T     934     41   1468   1349
T     935     47   1475   1360
T     936     40   1467   1349
T     937     41   1468   1350
T     938     41   1467   1349
T     939     41   1466   1349
T     940     41   1467   1350
T     941     41   1467   1348
T     942     48   1476   1362
T     943     41   1467   1349
T     944     47   1475   1359
T     945     41   1467   1349
T     946     44   1471   1356
T     947     40   1466   1349
T     948     46   1473   1358
T     949     41   1467   1349
T     950     41   1467   1349
T     951     41   1467   1350
T     952     41   1467   1349
T     953     41   1467   1349
T     954     41   1467   1349
T     955     42   1468   1351
T     956     41   1466   1350
T     957     47   1474   1362
T     958     42   1468   1351
T     959     45   1471   1356
T     960     41   1466   1351
T     961     47   1475   1363
T     962     41   1467   1352
T     963     47   1475   1351
T     964     41   1466   1351
T     965     48   1475   1364
T     966     42   1467   1352
T     967     46   1473   1360
T     968     41   1465   1350
T     969     48   1475   1364
T     970     42   1467   1352
T     971     45   1471   1358
T     972     41   1466   1352
T     973     41   1466   1352
T     974     41   1467   1352
T     975     46   1471   1360
T     976     42   1467   1352
T     977     42   1467   1352
T     978     42   1468   1353
T     979     37   1458   1377
T     980     42   1467   1353
T     981     44   1469   1356
T     982     42   1468   1352
T     983     42   1467   1353
T     984     42   1467   1352
T     985     47   1474   1362
T     986     41   1467   1352
T     987     42   1467   1352
